restaurant_id,name,phone_num,address_id,cuisine_type
1,Mona Croucher,(203) 676-6076,74,Thai
2,Mal Skures,(916) 971-7465,49,Mediterranean
3,Giorgia Arkow,(505) 783-5889,87,American
4,Ash Necolds,(914) 642-6794,81,Chinese
5,Leonid Asche,(716) 241-0701,27,American
6,Joellyn Royans,(212) 635-8060,85,Italian
7,Saudra Enrich,(434) 373-6528,34,French
8,Bryce Ladd,(212) 536-3872,84,French
9,Geneva Cowherd,(651) 312-3495,71,Korean
10,Jard Petroselli,(334) 913-7199,34,Caribbean
11,Yvor Freckleton,(717) 069-6138,27,American
12,Adella Call,(509) 883-5244,74,Caribbean
13,Hollie Baudains,(951) 808-5779,92,Russian
14,Giovanni Beeken,(585) 238-5734,48,Japanese
15,Giovanni Matyashev,(813) 475-3057,61,Greek
16,Ravi Proughten,(712) 517-0973,79,Chinese
17,Shelba Frammingham,(605) 367-6469,87,Mexican
18,Maighdiln Muino,(502) 308-3617,32,French
19,Sophia Cuthill,(240) 607-9220,96,Korean
20,Page Heskin,(860) 910-7584,84,Greek
21,Hersch Lealle,(330) 929-7418,57,Lebanese
22,Emmalyn Aaronson,(956) 332-4711,5,Turkish
23,Charity Horley,(714) 680-1354,22,Indian
24,Cary O'Meara,(407) 783-9682,66,Mediterranean
25,Woodrow Hanham,(405) 572-8808,40,Vietnamese
26,Correna Lowther,(347) 637-7020,75,Mexican
27,Kati Clarke-Williams,(727) 847-9600,36,Russian
28,Margaretha Offell,(325) 538-5042,93,Italian
29,Odette Sarah,(212) 637-3852,7,Russian
30,Buddy Ackhurst,(281) 626-6893,16,American
31,Reiko Tysall,(314) 720-6790,86,Japanese
32,Sammy Impey,(251) 309-9113,42,Lebanese
33,Siobhan Besset,(917) 880-1393,66,Greek
34,Giffie Ventom,(312) 438-5798,67,Spanish
35,Josias Sanpher,(775) 492-0077,42,American
36,Taddeusz Vasyutkin,(601) 932-3858,32,Brazilian
37,Faustina Feldman,(520) 972-9817,9,Thai
38,Tudor Cosser,(217) 166-2556,15,Lebanese
39,Ursola McMenamie,(816) 154-8084,22,Ethiopian
40,Ibby Leeb,(808) 320-0613,100,Russian
41,Venus Berford,(772) 411-1719,4,Italian
42,Jamie Lowen,(210) 435-0790,30,Japanese
43,Riannon Prendiville,(813) 272-6725,25,Korean
44,Elana Flieger,(405) 521-2362,22,Vietnamese
45,Davey Schankelborg,(801) 553-0623,51,Mexican
46,Dela Starte,(347) 117-5102,48,Brazilian
47,Archaimbaud Begwell,(502) 869-7412,49,Caribbean
48,Uriel Spoole,(702) 528-5024,25,Japanese
49,Brendin Taverner,(559) 753-8275,97,Chinese
50,Malia Trebble,(410) 785-3335,89,Ethiopian
51,Jerrylee Vanshin,(850) 047-4557,29,Brazilian
52,Andonis Cino,(315) 014-5177,13,Mexican
53,Olimpia De Avenell,(310) 826-8746,9,Turkish
54,Niccolo Middlemass,(910) 338-9774,97,Spanish
55,Candie Tidbury,(806) 379-8951,79,Turkish
56,Rosamund Haet,(205) 058-4139,43,French
57,Jennica Wilflinger,(770) 734-3644,11,Russian
58,Carlen Passman,(919) 647-9072,63,French
59,Naoma Winship,(813) 575-2604,72,Japanese
60,Myrtie Pareman,(212) 285-0851,13,Moroccan
61,Saundra Tesseyman,(303) 083-6851,75,Greek
62,Shayne Kindleysides,(813) 730-0214,52,Vietnamese
63,Gino McConway,(410) 651-2590,49,French
64,Mollie Fetherstonhaugh,(301) 104-7296,26,Lebanese
65,Rafael Reicherz,(330) 192-6501,42,Brazilian
66,Tonnie Deveral,(510) 715-9370,85,Spanish
67,Valentijn Ewert,(507) 749-8802,69,Mexican
68,Geordie Raper,(808) 153-2294,39,Japanese
69,Eleanora Maidstone,(414) 915-7740,5,Korean
70,Linus Slocomb,(606) 268-9079,29,Brazilian
71,Stan Hallut,(718) 130-0355,51,Vietnamese
72,Lucine Moscon,(309) 108-8871,35,Russian
73,Karil Heatherington,(310) 085-2885,64,Chinese
74,Mohammed Baybutt,(651) 817-2639,25,Caribbean
75,Melva Pendre,(352) 298-3218,91,Moroccan
76,Bethany McCooke,(813) 153-3394,3,Caribbean
77,Barret Routley,(610) 827-8854,81,Turkish
78,Ase Stebbings,(505) 162-7011,76,Chinese
79,Hanan Chaloner,(719) 471-4521,46,Russian
80,Zita Kidson,(801) 236-8161,50,Vietnamese
81,Georgette Huncoot,(505) 991-3458,56,Thai
82,Bibi Trood,(917) 751-6480,65,Indian
83,Frederik Sreenan,(253) 537-3136,15,French
84,Keene Chamberlayne,(518) 966-3102,17,Caribbean
85,Herby Olyfat,(724) 875-3859,82,Japanese
86,Bethina Tirrell,(903) 619-4142,98,Korean
87,Margeaux Willimott,(262) 517-3172,88,Ethiopian
88,Dennie Littledike,(909) 561-9979,71,American
89,Brit Laws,(814) 805-8632,48,Vietnamese
90,Frank Gyde,(434) 090-8631,37,Chinese
91,Donovan Lambell,(501) 130-3794,82,Russian
92,Barbette Solman,(325) 280-9098,3,Moroccan
93,Harcourt Smolan,(765) 072-1832,28,Thai
94,Val Gianullo,(339) 486-5280,78,Turkish
95,Nessy Gippes,(706) 761-5399,47,Brazilian
96,Deina Clappson,(847) 257-4679,93,Moroccan
97,Michal Fonzone,(847) 991-7104,55,Moroccan
98,Constantin Durbyn,(234) 933-6665,8,American
99,Leslie Wragge,(281) 200-2552,9,Russian
100,Evangelina Gullan,(260) 447-5000,99,Turkish
